frame.time_epoch,ip.src,ip.dst,protocol,src_port,dst_port,frame.len
1518611411.883957,172.31.64.111,172.31.64.127,UDP,137.0,137.0,92
1518611412.420835,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,66
1518611412.421193,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,66
1518611412.421253,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,54
1518611412.421554,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,136
1518611412.4218,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,54
1518611412.422064,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,547
1518611412.439873,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,163
1518611412.440438,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,293
1518611412.440889,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,147
1518611412.441281,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,302
1518611412.44172,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,142
1518611412.442135,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,295
1518611412.443244,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,160
1518611412.443718,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,301
1518611412.444474,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,184
1518611412.444857,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,295
1518611412.448892,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,160
1518611412.449332,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,765
1518611412.489619,172.31.64.111,239.255.255.250,UDP,49274.0,1900.0,179
1518611412.508564,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,135
1518611412.50906,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,547
1518611412.530594,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,157
1518611412.531203,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,290
1518611412.531413,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,161
1518611412.531802,169.254.169.254,172.31.64.111,TCP,80.0,49453.0,291
1518611412.598077,172.31.64.111,169.254.169.254,TCP,49454.0,80.0,66
1518611412.598403,169.254.169.254,172.31.64.111,TCP,80.0,49454.0,66
1518611412.598461,172.31.64.111,169.254.169.254,TCP,49454.0,80.0,54
1518611412.598607,172.31.64.111,169.254.169.254,TCP,49454.0,80.0,215
1518611412.598811,169.254.169.254,172.31.64.111,TCP,80.0,49454.0,54
1518611412.598987,169.254.169.254,172.31.64.111,TCP,80.0,49454.0,542
1518611412.599015,169.254.169.254,172.31.64.111,TCP,80.0,49454.0,54
1518611412.599034,172.31.64.111,169.254.169.254,TCP,49454.0,80.0,54
1518611412.599121,172.31.64.111,169.254.169.254,TCP,49454.0,80.0,54
1518611412.599299,169.254.169.254,172.31.64.111,TCP,80.0,49454.0,54
1518611412.649547,172.31.64.111,172.31.64.127,UDP,137.0,137.0,92
1518611412.650041,,,OTHER,,,90
1518611412.650148,172.31.64.111,224.0.0.22,IGMP,,,54
1518611412.654399,,,OTHER,,,90
1518611412.654555,172.31.64.111,224.0.0.22,IGMP,,,54
1518611412.655064,,,OTHER,49364.0,5355.0,95
1518611412.655195,172.31.64.111,224.0.0.252,UDP,49364.0,5355.0,75
1518611412.72764,172.31.64.111,169.254.169.254,TCP,49453.0,80.0,54
1518611412.805773,172.31.64.111,224.0.0.22,IGMP,,,54
