Timestamp,flow_count,Flow Duration_mean,Flow Duration_std,Tot Fwd Pkts_sum,Tot Bwd Pkts_sum,TotLen Fwd Pkts_sum,TotLen Bwd Pkts_sum,Flow Byts/s_mean,Flow Pkts/s_mean,Flow IAT Mean_mean,SYN Flag Cnt_sum,ACK Flag Cnt_sum,RST Flag Cnt_sum,FIN Flag Cnt_sum,PSH Flag Cnt_sum,URG Flag Cnt_sum,unique_dst_ports,dominant_label,attack_ratio,attack_present
2018-02-14 01:00:00,2710,14040159.363468634,33850491.17069896,15623,19333,993342,14286347,198736.84892193915,14580.717867139234,1436841.231752001,51,470,98,4,883,84,232,Benign,0.0,0
2018-02-14 01:01:00,1334,14459789.073463269,33690942.0119387,12548,20518,628059,22571255,164680.7684047409,40942.51085227983,2555731.829482095,47,401,159,6,526,131,235,Benign,0.0,0
2018-02-14 01:02:00,880,9508764.353409091,25102252.04685098,4100,3094,342140,702384,127897.11742341911,42005.7509296061,3181551.3055943116,50,332,103,8,351,70,197,Benign,0.0,0
2018-02-14 01:03:00,1081,8964662.892691951,26097905.38439243,6953,11051,361097,11859987,331204.3936114207,58502.617325013045,2496222.535655737,125,432,62,12,381,49,224,Benign,0.0,0
2018-02-14 01:04:00,1107,14444210.463414634,33706401.72073139,6406,6654,454576,3864447,117674.5171682145,20849.6237256711,2861549.829110532,38,225,68,3,432,29,116,Benign,0.0,0
2018-02-14 01:05:00,1047,11124324.53581662,29801108.63845584,6170,9959,344345,9789141,235853.64493309185,28700.985556027696,2693345.1882625073,25,315,54,6,473,52,124,Benign,0.0,0
2018-02-14 01:06:00,861,8824140.638792101,25494237.94285546,3659,3023,296155,714599,158311.41356917119,19871.661501122224,3606198.8402892845,18,342,49,3,419,31,122,Benign,0.0,0
2018-02-14 01:07:00,750,8201353.841333333,23823278.483104754,4652,8269,294237,8750568,137742.92805022513,31807.71579824671,3309002.3462671344,21,255,58,4,401,23,109,Benign,0.0,0
2018-02-14 01:08:00,832,16372246.021634616,35298721.04304918,6311,9536,392859,9272966,85950.0515731885,14890.7219869906,3542857.773655019,28,182,59,2,350,24,72,Benign,0.0,0
2018-02-14 01:09:00,1667,16899197.070785843,37163823.722766474,10270,16432,635155,15124364,178580.65199321503,11778.397961817172,2281857.0796779855,27,257,64,3,607,50,114,Benign,0.0,0
2018-02-14 01:10:00,1186,13223683.170320405,32688334.610411115,5421,4928,374399,1605882,280548.72762873373,24129.315607505076,2580420.065163654,16,292,60,8,455,57,138,Benign,0.0,0
